Health region,2014 Population,2014 RN                                                                                                                                                                                                                                   ,2015 Population,2015 RN                                                                                                                                                                                                                                        ,2016 Population,2016 RN                                                                                                                                                                                                                                        ,2017 Population,2017 RN                                                                                                                                                                                                                                        ,2018 Population,2018 RN                                                                                                                                                                                                                                        ,2019 Population,2019 RN                                                                                                                                                                                                                                         ,2020 Population,2020 RN                                                                                                                                                                                                                                         ,2021 Population,2021 RN,2022 Population,2022 RN,2023 Population,2023 RN
Erie St. Clair LHIN (Former),"6,66,890",624.4,"6,74,600",621.3,"6,82,400",604.5,"6,90,300",575.5,"6,98,300",565.6,"7,06,400",576.2,"7,14,600",570.4,"7,22,900",576.9,"7,31,300",551,"7,39,800",559.9
South West LHIN (Former),"10,38,957",825.9,"10,58,700",826.1,"10,78,800",801.3,"10,99,200",779.4,"11,19,900",764.9,"11,40,900",761.4,"11,62,200",747.8,"11,83,800",743.5,"12,05,700",736.7,"12,27,900",730.9
Waterloo Wellington LHIN (Former),"8,45,582",520.9,"8,66,900",506.6,"8,88,600",485.7,"9,10,700",465,"9,33,200",462,"9,56,100",455.2,"9,79,400",447.2,"10,03,200",456,"10,27,400",450.3,"10,52,000",455.1
Hamilton Niagara Haldimand Brant LHIN (Former),"14,99,117",674.4,"15,18,900",667.1,"15,38,900",663.9,"15,59,100",649.3,"15,79,500",640.6,"16,00,100",642.6,"16,20,900",640.5,"16,41,900",632.5,"16,63,200",620.6,"16,84,800",634.9
Central West LHIN (Former),"10,56,893",291.2,"10,96,400",319.8,"11,37,000",310.5,"11,78,900",305.4,"12,22,100",298.5,"12,66,700",271.5,"13,12,700",266.5,"13,60,200",273.4,"14,09,200",265.8,"14,59,800",290.6
Mississauga Halton LHIN (Former),"12,60,695",474.8,"12,83,900",455.7,"13,07,400",463.1,"13,31,300",468.3,"13,55,600",465,"13,80,300",500,"14,05,400",513.4,"14,30,900",520.8,"14,56,800",531.3,"14,83,100",546.3
Toronto Central LHIN (Former),"13,37,884","1,219.00","13,58,900","1,225.90","13,80,300","1,217.30","14,02,100","1,202.70","14,24,300","1,188.40","14,46,900","1,194.30","14,69,900","1,171.90","14,93,300","1,199.40","15,17,100","1,182.90","15,41,300","1,185.60"
Central LHIN (Former),"19,54,258",364.9,"19,87,800",370.3,"20,21,900",375.6,"20,56,400",372.6,"20,91,300",372.1,"21,26,600",376.9,"21,62,300",381.8,"21,98,400",390.7,"22,34,900",391,"22,71,800",419.4
Central East LHIN (Former),"16,72,971",445.4,"16,97,600",439.1,"17,22,600",433,"17,47,900",421.1,"17,73,500",419.4,"17,99,400",422.5,"18,25,600",417.1,"18,52,100",416.1,"18,78,900",405,"19,06,000",410.6
South East LHIN (Former),"5,11,938",823,"5,17,600",802,"5,23,300",781.3,"5,29,100",775.4,"5,35,000",767.5,"5,41,000",770.1,"5,47,100",770.9,"5,53,300",776.3,"5,59,600",749.9,"5,66,000",749.7
Champlain LHIN (Former),"14,06,174",740.9,"14,33,800",741.5,"14,62,000",730.8,"14,90,700",712.5,"15,19,900",702.6,"15,49,600",696.3,"15,79,800",684,"16,10,500",690.4,"16,41,700",694.3,"16,73,400",700.8
North Simcoe Muskoka LHIN (Former),"5,03,783",620.8,"5,13,200",603.9,"5,22,800",595.7,"5,32,600",574.6,"5,42,600",559.1,"5,52,800",578.7,"5,63,200",571.9,"5,73,800",564,"5,84,600",555.8,"5,95,600",577.4
North East LHIN (Former),"5,71,768",836.2,"5,74,000",841.4,"5,76,300",826.5,"5,78,600",827,"5,80,900",816.1,"5,83,200",811.1,"5,85,500",815.2,"5,87,800",820.2,"5,90,100",822.2,"5,92,400",806.8
North West LHIN (Former),"2,39,637",959.3,"2,40,600",986.6,"2,41,600",970.4,"2,42,600",955.3,"2,43,600",960.7,"2,44,600",982.9,"2,45,600","1,000.60","2,46,600","1,010.10","2,47,600",993.6,"2,48,600",987.3
